http://www.top-law-schools.com/forums/memberlist.php?mode=viewprofile&u=80073,carmenhere130,180,3.9,,,,http://www.top-law-schools.com/forums/stats.php?school=yale,"Yale, Harvard, Columbia",,
http://www.top-law-schools.com/forums/memberlist.php?mode=viewprofile&u=25799,drylo,180,3.8,3.9,,,http://www.top-law-schools.com/forums/stats.php?school=u-of-chicago,"U of Chicago, Harvard, Duke, Vanderbilt, UVA",,
http://www.top-law-schools.com/forums/memberlist.php?mode=viewprofile&u=27117,gst,180,3.8,3.9,,,,,,
http://www.top-law-schools.com/forums/memberlist.php?mode=viewprofile&u=82478,physicaltherap,180,3.8,3.9,,,,,,
http://www.top-law-schools.com/forums/memberlist.php?mode=viewprofile&u=29825,Shadyb,180,3.8,3.8,http://www.top-law-schools.com/forums/stats.php?school=yale,"Yale, U of Chicago, BU, U of Michigan, Penn",http://www.top-law-schools.com/forums/stats.php?school=harvard,"Harvard, Cornell",,
http://www.top-law-schools.com/forums/memberlist.php?mode=viewprofile&u=15639,elluchador,180,3.8,3.8,,,http://www.top-law-schools.com/forums/stats.php?school=stanford,"Stanford, Yale, U of Chicago, Harvard, Columbia",,
http://www.top-law-schools.com/forums/memberlist.php?mode=viewprofile&u=69347,n4elise,180,3.8,3.8,,,http://www.top-law-schools.com/forums/stats.php?school=stanford,"Stanford, Yale, Harvard, Columbia",,
http://www.top-law-schools.com/forums/memberlist.php?mode=viewprofile&u=61534,BeMo,180,3.8,3.8,,,,,,
http://www.top-law-schools.com/forums/memberlist.php?mode=viewprofile&u=95285,carpentrix,180,3.8,3.8,,,,,,
http://www.top-law-schools.com/forums/memberlist.php?mode=viewprofile&u=107528,bobbyorr4law,180,3.8,3.8,http://www.top-law-schools.com/forums/stats.php?school=stanford,"Stanford, Penn",http://www.top-law-schools.com/forums/stats.php?school=yale,"Yale, U of Chicago, Harvard, NYU",,
http://www.top-law-schools.com/forums/memberlist.php?mode=viewprofile&u=107811,jyrkchicken,180,3.8,3.8,http://www.top-law-schools.com/forums/stats.php?school=stanford,"Stanford, U of Chicago",http://www.top-law-schools.com/forums/stats.php?school=harvard,"Harvard, Columbia",,
http://www.top-law-schools.com/forums/memberlist.php?mode=viewprofile&u=40844,barefootmanner,180,3.8,3.7,,,,,,
http://www.top-law-schools.com/forums/memberlist.php?mode=viewprofile&u=84813,Lady in Red,180,3.8,3.7,,,http://www.top-law-schools.com/forums/stats.php?school=u-of-michigan,U of Michigan,,
http://www.top-law-schools.com/forums/memberlist.php?mode=viewprofile&u=45916,dutchstriker,180,3.8,,,,,,,
