username,"ASU notes: ","ASU: ","American U notes: ","American U: ","Application Year: ","Attending: ","BC notes: ","BC: ","BU notes: ","BU: ","BYU notes: ","BYU: ","Baylor notes: ","Baylor: ","Brooklyn notes: ","Brooklyn: ","Cardozo notes: ","Cardozo: ","Case Western notes: ","Case Western: ","Catholic U notes: ","Catholic U: ","Chapman notes: ","Chapman: ","Chicago-Kent notes: ","Chicago-Kent: ","Columbia notes: ","Columbia: ","Cornell notes: ","Cornell: ","DePaul notes: ","DePaul: ","Duke notes: ","Duke: ","Emory notes: ","Emory: ","FSU notes: ","FSU: ","Fl International notes: ","Fl International: ","Fordham notes: ","Fordham: ","GPA: ","Gender: ","General Information: ","George Mason notes: ","George Mason: ","George Washington notes: ","George Washington: ","Georgetown notes: ","Georgetown: ","Georgia State notes: ","Georgia State: ","Gonzaga notes: ","Gonzaga: ","Harvard notes: ","Harvard: ","Highest LSAT: ","Hofstra notes: ","Hofstra: ","Indiana - Bloomington notes: ","Indiana - Bloomington: ","Indiana - Indianapolis notes: ","Indiana - Indianapolis: ","LSDAS GPA: ","LSU notes: ","LSU: ","Lewis & Clark notes: ","Lewis & Clark: ","Loyola - Chicago notes: ","Loyola - Chicago: ","Loyola - LA notes: ","Loyola - LA: ","Major(s): ","Marquette notes: ","Marquette: ","Mercer notes: ","Mercer: ","Michigan State notes: ","Michigan State: ","Minor(s): ","NYU notes: ","NYU: ","Northeastern notes: ","Northeastern: ","Northwestern notes: ","Northwestern: ","Notre Dame notes: ","Notre Dame: ","Ohio State notes: ","Ohio State: ","Oklahoma City notes: ","Oklahoma City: ","Penn State notes: ","Penn State: ","Penn notes: ","Penn: ","Pepperdine notes: ","Pepperdine: ","Pitt notes: ","Pitt: ","Residency: ","Rutgers - Camden notes: ","Rutgers - Camden: ","Rutgers - Newark notes: ","Rutgers - Newark: ","SMU notes: ","SMU: ","SUNY Buffalo notes: ","SUNY Buffalo: ","Saint Louis U notes: ","Saint Louis U: ","Santa Clara notes: ","Santa Clara: ","Seattle U notes: ","Seattle U: ","Seton Hall notes: ","Seton Hall: ","St. Johns notes: ","St. Johns: ","Stanford notes: ","Stanford: ","Stetson notes: ","Stetson: ","Syracuse notes: ","Syracuse: ","TLS Box: ","Temple notes: ","Temple: ","Tulane notes: ","Tulane: ","U of Alabama notes: ","U of Alabama: ","U of Arizona notes: ","U of Arizona: ","U of Arkansas notes: ","U of Arkansas: ","U of Chicago notes: ","U of Chicago: ","U of Cincinnati notes: ","U of Cincinnati: ","U of Colorado notes: ","U of Colorado: ","U of Connecticut notes: ","U of Connecticut: ","U of Denver notes: ","U of Denver: ","U of Florida notes: ","U of Florida: ","U of Georgia notes: ","U of Georgia: ","U of Hawaii notes: ","U of Hawaii: ","U of Houston notes: ","U of Houston: ","U of Illinois notes: ","U of Illinois: ","U of Iowa notes: ","U of Iowa: ","U of Kansas notes: ","U of Kansas: ","U of Kentucky notes: ","U of Kentucky: ","U of Louisville notes: ","U of Louisville: ","U of Maine notes: ","U of Maine: ","U of Maryland notes: ","U of Maryland: ","U of Miami notes: ","U of Miami: ","U of Michigan notes: ","U of Michigan: ","U of Minnesota notes: ","U of Minnesota: ","U of Missouri notes: ","U of Missouri: ","U of Nebraska notes: ","U of Nebraska: ","U of New Mexico notes: ","U of New Mexico: ","U of Oklahoma notes: ","U of Oklahoma: ","U of Oregon notes: ","U of Oregon: ","U of Richmond notes: ","U of Richmond: ","U of San Diego notes: ","U of San Diego: ","U of San Francisco notes: ","U of San Francisco: ","U of South Carolina notes: ","U of South Carolina: ","U of Tennessee notes: ","U of Tennessee: ","U of Texas notes: ","U of Texas: ","U of Tulsa notes: ","U of Tulsa: ","U of Utah notes: ","U of Utah: ","U of Washington notes: ","U of Washington: ","U of Wisconsin notes: ","U of Wisconsin: ","U of Wyoming notes: ","U of Wyoming: ","UC Berkeley/Boalt notes: ","UC Berkeley/Boalt: ","UC Davis notes: ","UC Davis: ","UC Hastings notes: ","UC Hastings: ","UCLA notes: ","UCLA: ","UNC notes: ","UNC: ","UNLV notes: ","UNLV: ","UOP (McGeorge) notes: ","UOP (McGeorge): ","USC notes: ","USC: ","UVA notes: ","UVA: ","Undergrad Institution: ","Underrepresented Minority?: ","Vanderbilt notes: ","Vanderbilt: ","Villanova notes: ","Villanova: ","WUSTL notes: ","WUSTL: ","Wake Forest notes: ","Wake Forest: ","Washington & Lee notes: ","Washington & Lee: ","Wayne State notes: ","Wayne State: ","West Virginia notes: ","West Virginia: ","William & Mary notes: ","William & Mary: ","William Mitchell notes: ","William Mitchell: ","Yale notes: ","Yale: "
saxamaflob,,,,,2010-2011,,,,,,,,,,,,,,,,,,,,,,"Hamilton Fellowship, which I declined",Accepted,,,,,,Accepted,,,,,,,,,4.0,Male,,,,,,,,,,,,,Accepted,175,,,,,,,4.0,,,,,,,,,"Ethics, Politics, Economics",,,,,,,"(China Studies)",,,,,,,,,,,,,,,,,,,,,MN,,,,,,,,,,,,,,,,,,,"I think I must have been the last one… admitted by phone 04/15 in the p.m.",Accepted,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yale,No,,,,,,,,,,,,,,,,,,,,Applied
godofcoffee,,,,,2010-2011,Yale,,,,,,,,,,,,,,,,,,,,,$$$,Applied,,,,,,,,,,,,,,,4.0,Male,,,,,,,,,,,,,Accepted,175,,,,,,,4.0,,,,,,,,,"Computer Science, Economics, Philosophy",,,,,,,,,,,,,,,,,,,,,,,,,,,,"International (no country specified)",,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Top 10",No,,,,,,,,,,,,,,,,,,,,Accepted
halcyon773,,,,,2011-2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,175,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,
onebiglie,,,,,2011-2012,,,,,,,,,,,,,,,,,,,,,,"Held, withdrew",Applied,,,,,,,,,,,,,,,4.0,Male,,,,,,,,,,,,,Accepted,175,,,,,,,4.0,,,,,,,,,Biology,,,,,,,Philosophy,,Accepted,,,"deferred admit - full ride starting 2012",Accepted,,,,,,,,,,,,,,,TX,,,,,,,,,,,,,,,,,,,,Applied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/2 ride, withdrew",Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Waitlisted
DFog,,,,,2011-2012,,,,,,,,,,,,,,,,,,,,,,,Applied,"Interview Requested",Applied,,,,Accepted,,,,,,,,,4.0,Male,,,,,,,Waitlisted,,,,,,Accepted,175,,,,,,,4.0,,,,,,,,,"Political Science and English",,,,,,,,,Accepted,,,,Accepted,,,,,,,,,,,,,,,"Domestic (no state specified)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rejected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Top 10 Public",No,,,,,,,,,,,,,,,,,,,,
Tim3155,,,,,2011-2012,,,,,,,,,,,,,,,,,,,,,,,Accepted,Withdrawn,Applied,,,Withdrawn,Accepted,,,,,,,,,4.0,Male,"Submitted November/December",,,,,,,,,,,"JS1->Held (February)",Applied,175,,,Withdrawn,Applied,,,4.0,,,,,,,,,English,,,,,,,"Political Science",,Accepted,,,,,,,,,,,,,,Applied,,,,,IN,,,,,,,,,,,,,,,,,,,,,,,,,http://lawschoolnumbers.com/Tim3155,,,,,,,,,,,Scholarship,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Withdrawn,Waitlisted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wabash College",No,,,,,,,,,,,,,,,,,,,,
TripTrip,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rejected,,Accepted,,,,,,,,,,,,,4.0,,,,,,,,Accepted,,,,,,"Waitlisted then accepted",175,,,,Accepted,,,4.0,,,,,,,,,,,,,,,,,,Rejected,,,,,,Accepted,,,,,,,,Rejected,,,,,"United States",,,,,,,,,,,,,,,,,,,,Rejected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,,Rejected
atmills,,,,,,,,,,,,,,,,,,,,,,,,,,,,Applied,,,,,,Accepted,,,,,,,,,4.0,,,,,,,,Accepted,,,,,,Accepted,175,,,,,,,4.0,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,Accepted,,,,,,Waitlisted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,Applied,"Large Public",No,,,,,,,,,,,,,,,,,,,,Applied
AvatarEyes08,,,,,2013-2014,,,,,,,,,,,,,,,,,,,,,,,Applied,,,,,PT,Accepted,,,,,,,,,4.0,Male,,,,,,,,,,,,,Accepted,175,,,,,,,4.0,,,,,,,,,Finance,,,,,,,,,Applied,,,,,,,,,,,,,,Applied,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,http://lawschoolnumbers.com/avatareyes08,,,,,,,,,,,,Applied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Applied,,No,,,,,,,,,,,,,,,,,,,,
liammial,,,,,2013-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Male,"Unique softs",,,,,,,,,,,,,175,,,,,,,4.0,,,,,,,,,Abnormal,,,,,,,"A few",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lucky to be in this position",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Top 8ish",No,,,,,,,,,,,,,,,,,,,,
The_Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,4.0,,,,,,,,Accepted,,,,,"Interview - 12/22; Accepted - 2/2",Accepted,175,,,,,,,3.9,,,,,,,,,"Political Science",,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,"Domestic (no state specified)",,,,,,,,,,,,,,,,,,,,,,,,,http://lawschoolnumbers.com/TheWall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tier III",,,,,,,,,,,,,,,,,,,,,
brittanyfowler,,,,,2008-2009,,,,,,,,,,,,,,,,,,,,"42,000 scholarship",Accepted,,,"35,000 scholarship",Accepted,,,,Accepted,,,,,,,,,4.0,Female,,,,,,,Accepted,,,,,,,175,,,,,,,,,,,,,,,,Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Full ride",Accepted,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,"Texas A&M University",No,,,,,,Accepted,,,,,,,,,,,,,,
aschup,,,,,,"Es El Es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rock for a little bit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
donna7,,,,,2012-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Female,,,,,,,,,,,,,Applied,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Applied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Full tuition scholarship",Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Accepted,,,,,,,,,,,,,,,,,,
"Rock of Love",,,,,2009-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,,,,175,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Domestic (no state specified)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Top Public",No,,,,,,,,,,,,,,,,,,,,
Dr_Nex,,,,,2008-2009,,,,,,,,,,,,,,,,,,,,,,Butler,Accepted,,,,,$90K,Accepted,,,,,,,,,3.9,Male,,,,,,,,,,,,,Applied,175,,,,,,,3.9,,,,,,,,,,,,,,,,,$25K,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Applied,,,,,,,,,,,,,,,,$42K,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,"Top 25",No,,,,,,,,,,,,,,,,,,,,Rejected
"Brett Ashley",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,Female,,,,,,,,,,,,withdrew,Waitlisted,175,,,,,,,3.9,,,,,,,,,Econ,,,,,,,Math,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Attending,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accepted,,,,Accepted,,Accepted,,,,,,,"full ride",Accepted,,,USC,,,,,,,,,,,,,,,,,,,,,Rejected
timetowait,,,,,,,,,,,,,,,,,,,,,,,,,,,,Applied,,Applied,,,,Accepted,,Applied,,,,,,,3.9,Female,,,,,,,Accepted,,,,,,Applied,175,,,,,,,3.9,,,,,,,,,,,,,,,,,,Applied,,,,,,,,,,,,,,Applied,,,,,,,,,,,,,,,,,,,,,,,,,Applied,,,,,,,,,,,,,,,,,Applied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Applied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Applied
s419,,,,,2009-2010,"Harvard Class of 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,Female,,,,,,,,,,,,,,175,,,,,,,3.9,,,,,,,,,"Foreign Languages and Literature",,,,,,,Anthropology/Archaeology,,,,,,,,,,,,,,,,,,,,,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"top 50 liberal arts college",No,,,,,,,,,,,,,,,,,,,,
EnnuiXperience,,,,,2010-2011,,,,,,,,,,,,,,,,,,,,,,,Applied,,,,,,Accepted,,,,,,,,,3.9,Male,,,,,,,Accepted,,,,,"Held, 2/17, sent updated transcript and extra LOR",Applied,175,,,,,,,3.9,,,,,,,,,"Political Science",,,,,,,,,,,,,,,,,,,,,,,,,,,,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Applied,"NC State University",No,,,,,,,,,,,,,,,,,,,,Applied
kwat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,,,,175,,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pingu86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,,,,175,,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blondebruin,,,,,2009-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,Female,,,,,,,,,,,,,,175,,,,,,,3.9,,,,,,,,,English,,,,,,,Anthropology,,,,,,,,,,,,,,,"Attending! :)",Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,No,,,,,,,,,,,,,,,,,,,,
leggy1T1,,,,,2011-2012,,,,,,,,,,,,,,,,,,,,,,,Applied,,Rejected,,,,Waitlisted,,,,,,,,,3.9,Female,"Upward grade trend. Switched from Life Sci (pre-med) major to History after 2nd year.",,,,,,,,,,,,Waitlisted,175,,,,,,,3.9,,,,,,,,,"History - British",,,,,,,"American Studies",,,,,,Accepted,,,,,,,,,,,,,,,Canada,,,,,,,,,,,$$$,Accepted,,,,,,,,Applied,,,,,,,,,,,,,,,,,Waitlisted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Applied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Applied,,,,,,,,,,,,,,,,Applied,"University of Toronto",No,,Accepted,,,,,,,,,,,,,"$15,000.",Accepted,,,,Applied
StunnaMan,,,,,2011-2012,,,,,,,,,,,,,Applied,,,,,,,,,,Accepted,,,,,Withdrew,Applied,,,,,,,,Applied,3.9,Male,,,,,,,Waitlisted,,,,,,Applied,175,,,,,,,3.9,,,,,,,,,Chemistry,,,,,,,,,Accepted,,,Held,Applied,Withdrew,Applied,,,,,,,,Applied,,,,,"Domestic (no state specified)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Applied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Withdrew,Applied,,Waitlisted,,No,,,,,,,,,,,,,,,,,,,,Applied
kilgoretrout66,,,,,2012-2013,"Harvard Class of 2012",,,,,,,,,,,,,,,,,,,,,"App withdrawn",Applied,,,,,,,,,,,,,,,3.9,Male,,,,,,,,,,,,"KB 1 Late November, KB2 12/08!",Accepted,175,,,,,,,3.9,,,,,,,,,"Asian Studies",,,,,,,,Withdrawn,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Withdrawn,Accepted,,,,,"Just sent in my deposit to Harvard :)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Withdrawn,Accepted,,,,,,,,,,,,,,,,,"Top 5 liberal arts college",,,,,,,,,,,,,,,,,,,,,
Vezationz,,,,,2011-2012,,,,,,,,,,,,,,,,,,,,,,Withdrawn,Accepted,,,,,Withdrawn,Accepted,,,,,,,,,3.9,,,,,,,,,,,,,Withdrawn,Applied,175,,,,,,,3.9,,,,,,,,,Philosophy,,,,,,,,Withdrawn,Accepted,,,,,,,,,,,,,,,,,,,"Domestic (no state specified)",,,,,,,,,,,,,,,,,,,"UR 1/12",Applied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Withdrawn,Accepted,,,,,,,,,,,,,,,,,YHP,No,,,,,,,,,,,,,,,,,,,"Submitted 3/1; Complete 3/10; Accepted 4/6",Accepted
nametaken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,,,,175,,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://lawschoolnumbers.com/nametaken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MengqiJD,,,,,2012-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,Male,,,,,,,,,,,,,,175,,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"International (no country specified)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbsg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,,,,175,,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://lawschoolnumbers.com/bbsg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hlsperson1111,,,,,2009-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,Male,,,,,,,Accepted,,,,,,Accepted,175,,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Domestic (no state specified)",,,,,,,,,,,,,,,,,,,,Waitlisted,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Applied,,,,,,,,,,,,,,,,,,,,,,,,Applied,,,,,,,,,,,,Waitlisted,,,,,,Waitlisted,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Rejected
RoyalT,,,,,2008-2009,"Harvard 2012. woah.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,Male,,,,,,,,,,,,,,175,,,,,,,3.8,,,,,,,,,"Economics/Business Mgmt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bring on the debt baby.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stanford 06'",No,,,,,,,,,,,,,,,,,,,,
poke800ash,,,,,2013-2014,,,,,,,,,,,,,,,,,,,,,,,Applied,,,,,,Applied,,,,,,,,,3.9,Male,,,,,,,,,,,,,Applied,175,,,,,,,3.8,,,,,,,,,Statistics,,,,,,,Latin,,Applied,,,,,,,,,,,,,,Applied,,,,,Canada,,,,,,,,,,,,,,,,,,,,Applied,,,,,,,,,,,,,,,,,Applied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Applied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Applied,,,,,,,,,,,,,,,,Applied,"Foreign, top 3 in native country",No,,,,,,,,,,,,,,,,,,,,Applied
aph,,,,,,"CCN Transfer c/o 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,Female,,,,,,,,,,,,,,175,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Top 20",Yes,,,,,,,,,,,,,,,,,,,,
"Lyov Myshkin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,Male,,,,,,,,,,,,,,175,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,"trying to help ease some of the pain in studying for the lsat.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"University of Ukraine",,,,,,,,,,,,,,,,,,,,,
badpixie,,,,,2010-2011,"Rutgers Newark 2013",,,,,,,,,,,Hold,Applied,$30k/yr,Accepted,,,,,,,,,,,,,,,,,,,,,$10k/yr,Accepted,3.9,Female,,,,,,,,,,,,,,175,$30k/yr,Accepted,,,,,3.0,,,,,,,,,Accounting,,,,,,,,,,,,,,withdrawn,Waitlisted,,,,,,,,,,,,,NJ,,,$22k/yr,Accepted,,,$5k/yr,Accepted,,,,,,,"full scholly",Accepted,"full scholly",Accepted,,,,,,,,withdrawn,Waitlisted,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Waitlisted then rejected",,,,,,Accepted,,,,,,,,,,,,,,,,
harvardyup...yes,,,,,,harvard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,,...yes,Accepted,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yup.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
